AUTOID;INSTALACIONID;REGIMEN;INSTALACION;AUTONOMIA
168;;ORDINARIO;PRIANES 1;Principado de Asturias
169;;ORDINARIO;PRIANES 2;Principado de Asturias
170;;ORDINARIO;PRIANES 3;Principado de Asturias
171;;ORDINARIO;PROAZA 1;Principado de Asturias
172;;ORDINARIO;PROAZA 2;Principado de Asturias
173;;ORDINARIO;SALIME 1;Principado de Asturias
174;;ORDINARIO;SALIME 2;Principado de Asturias
175;;ORDINARIO;SALIME 3;Principado de Asturias
176;;ORDINARIO;SALIME 4;Principado de Asturias
177;;ORDINARIO;SAN ISIDRO 1;Principado de Asturias
178;;ORDINARIO;SAN ISIDRO 2;Principado de Asturias
179;;ORDINARIO;TANES 1;Principado de Asturias
180;;ORDINARIO;TANES 2;Principado de Asturias
181;;ORDINARIO;POBLA II 1;Cataluna
182;;ORDINARIO;POBLA II 2;Cataluna
183;;ORDINARIO;MORELLA 1;Comunidad Valenciana
184;;ORDINARIO;MORELLA 2;Comunidad Valenciana
185;;ORDINARIO;AIGUAMOIX;Cataluna
186;;ORDINARIO;ALCALA DEL RIO 2;Andalucia
187;;ORDINARIO;ALCALA DEL RIO 3;Andalucia
188;;ORDINARIO;ARTIES 1;Cataluna
189;;ORDINARIO;ARTIES 2;Cataluna
190;;ORDINARIO;ASCO GR 1;Cataluna
191;;ORDINARIO;ASCO GR 2;Cataluna
192;;ORDINARIO;BALAGUER;Cataluna
193;;ORDINARIO;BALIERA;Cataluna
194;;ORDINARIO;BARCENA GR 1;Castilla y Leon
195;;ORDINARIO;BARCENA GR 2;Castilla y Leon
196;;ORDINARIO;BARRADOS;Cataluna
197;;ORDINARIO;BASERCA;Cataluna
198;;ORDINARIO;BEMBEZAR;Andalucia
199;;ORDINARIO;BENOS 1;Cataluna
200;;ORDINARIO;BENOS 2;Cataluna
201;;ORDINARIO;BESOS, GRUPO 3;Cataluna
202;;ORDINARIO;BESOS, GRUPO 5;Cataluna
203;;ORDINARIO;BIELSA;Aragon
204;;ORDINARIO;BOADELLA PIE DE PRESA;Cataluna
205;;ORDINARIO;BOHI 1;Cataluna
206;;ORDINARIO;BOHI 2;Cataluna
207;;ORDINARIO;BONO 1;Aragon
208;;ORDINARIO;BONO 2;Aragon
209;;ORDINARIO;BOSSOST 1;Cataluna
210;;ORDINARIO;BOSSOST 2;Cataluna
211;;ORDINARIO;BUITRERAS 1;Andalucia
212;;ORDINARIO;BUITRERAS 2;Andalucia
213;;ORDINARIO;BUITRERAS 3;Andalucia
214;;ORDINARIO;CALA 1;Andalucia
215;;ORDINARIO;CALA 2;Andalucia
216;;ORDINARIO;CALABUIG;Cataluna
217;;ORDINARIO;CALDES 1;Cataluna
218;;ORDINARIO;CALDES 2;Cataluna
219;;ORDINARIO;CAMARASA II 1;Cataluna
220;;ORDINARIO;CAMARASA II 2;Cataluna
221;;ORDINARIO;CAMARASA II 3;Cataluna
222;;ORDINARIO;CAMARASA II 4;Cataluna
223;;ORDINARIO;CANALES;Andalucia
224;;ORDINARIO;CANELLES 1;Cataluna
225;;ORDINARIO;CANELLES 2;Cataluna
226;;ORDINARIO;CANELLES 3;Cataluna
227;;ORDINARIO;CANTILLANA 1;Andalucia
228;;ORDINARIO;CANTILLANA 2;Andalucia
229;;ORDINARIO;CAPDELLA II 1;Cataluna
230;;ORDINARIO;CAPDELLA II 2;Cataluna
231;;ORDINARIO;CAPDELLA II 3;Cataluna
232;;ORDINARIO;CAPDELLA II 4;Cataluna
233;;ORDINARIO;CAPDELLA II 5;Cataluna
234;;ORDINARIO;CAZULAS;Andalucia
235;;ORDINARIO;CEUTA 1, G-1;Ceuta
236;;ORDINARIO;CEUTA 2, G-2;Ceuta
237;;ORDINARIO;CEUTA 6, G-6;Ceuta
238;;ORDINARIO;CEUTA 7, G-7;Ceuta
239;;ORDINARIO;CEUTA 8, G-8;Ceuta
240;;ORDINARIO;CEUTA 9, G-9;Ceuta
241;;ORDINARIO;CEUTA, GRUPO 10;Ceuta
242;;ORDINARIO;CEUTA, GRUPO 11;Ceuta
243;;ORDINARIO;CEUTA, GRUPO 12;Ceuta
244;;ORDINARIO;CEUTA, GRUPO 13;Ceuta
245;;ORDINARIO;CIJARA M. DCHA. 1;Extremadura
246;;ORDINARIO;CIJARA M. IZDA. 1;Extremadura
247;;ORDINARIO;CIJARA M. IZDA. 2;Extremadura
248;;ORDINARIO;CIJARA M. IZDA. 3;Extremadura
249;;ORDINARIO;CORDOBILLA 1;Andalucia
250;;ORDINARIO;CORDOBILLA 2;Andalucia
251;;ORDINARIO;CORDOBILLA 3;Andalucia
252;;ORDINARIO;CORNATEL GR 1;Galicia
253;;ORDINARIO;CORNATEL GR 2;Galicia
254;;ORDINARIO;CRISTOBAL COLON;Andalucia
255;;ORDINARIO;CTCC AS PONTES, GRUPO 5;Galicia
256;;ORDINARIO;CHILLAR;Andalucia
257;;ORDINARIO;DILAR 1;Andalucia
258;;ORDINARIO;DILAR 2;Andalucia
259;;ORDINARIO;DONA ALDONZA 1;Andalucia
260;;ORDINARIO;DONA ALDONZA 2;Andalucia
261;;ORDINARIO;DUQUE;Andalucia
262;;ORDINARIO;DURCAL 1;Andalucia
263;;ORDINARIO;DURCAL 2;Andalucia
264;;ORDINARIO;EL CARPIO 1;Andalucia
265;;ORDINARIO;EL CARPIO 2;Andalucia
266;;ORDINARIO;EL CARPIO 3;Andalucia
267;;ORDINARIO;EL CORCHADO 1;Andalucia
268;;ORDINARIO;EL CORCHADO 2;Andalucia
269;;ORDINARIO;EL CORCHADO 3;Andalucia
270;;ORDINARIO;ENCINAREJO 1;Andalucia
271;;ORDINARIO;ENCINAREJO 2;Andalucia
272;;ORDINARIO;ESCALES 1;Aragon
273;;ORDINARIO;ESCALES 2;Aragon
274;;ORDINARIO;ESCALES 3;Aragon
275;;ORDINARIO;ESPOT 1;Cataluna
